epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3336.06,0.6159,0.38524,1.02073,0.99491,1,0.995,0.89174,0.57026,0.24338,0.93751,0.000834822,0.000834822,0.000834822
44,3412.19,0.62555,0.37553,1.02015,0.98367,1,0.995,0.88448,0.57739,0.25587,0.94607,0.000820675,0.000820675,0.000820675
45,3488.17,0.63331,0.39525,1.01912,0.98541,0.99741,0.995,0.87386,0.60185,0.26953,0.94554,0.000806528,0.000806528,0.000806528
46,3564.3,0.61929,0.39929,1.00955,0.99557,1,0.995,0.88117,0.60256,0.26118,0.96778,0.00079238,0.00079238,0.00079238
47,3641.28,0.61639,0.3897,1.0145,0.97754,1,0.995,0.87482,0.60533,0.26444,0.95818,0.000778233,0.000778233,0.000778233
48,3717.17,0.60002,0.37334,0.99753,0.96314,1,0.995,0.88001,0.59056,0.24373,0.9644,0.000764086,0.000764086,0.000764086
49,3792.9,0.59392,0.37302,0.99809,0.99415,1,0.995,0.88317,0.56063,0.23433,0.9375,0.000749939,0.000749939,0.000749939
50,3869.02,0.60058,0.38332,1.00235,0.99529,1,0.995,0.8622,0.6458,0.24795,0.97831,0.000735792,0.000735792,0.000735792
51,3945.12,0.59615,0.36928,1.00736,0.99331,1,0.995,0.87132,0.57371,0.24696,0.94245,0.000721645,0.000721645,0.000721645
52,4021.38,0.59956,0.37799,1.0093,0.99522,1,0.995,0.86807,0.62375,0.26292,0.9602,0.000707498,0.000707498,0.000707498
53,4097.59,0.60018,0.35984,1.00168,0.99547,1,0.995,0.87527,0.58603,0.22745,0.94732,0.000693351,0.000693351,0.000693351
54,4173.25,0.59485,0.3618,1.00267,0.99472,1,0.995,0.87945,0.56666,0.23542,0.93933,0.000679204,0.000679204,0.000679204
55,4248.89,0.5885,0.36879,1.00126,0.99612,1,0.995,0.90113,0.52818,0.2288,0.92205,0.000665057,0.000665057,0.000665057
56,4324.33,0.59691,0.35993,0.99103,0.99577,1,0.995,0.89006,0.57677,0.24128,0.93929,0.000650909,0.000650909,0.000650909
57,4400.36,0.56751,0.34635,0.97881,0.99588,1,0.995,0.89252,0.54131,0.22188,0.93944,0.000636762,0.000636762,0.000636762
58,4476.72,0.57389,0.34766,0.99442,0.99661,1,0.995,0.88534,0.56743,0.22441,0.95982,0.000622615,0.000622615,0.000622615
59,4551.77,0.56678,0.35603,0.98927,0.99681,1,0.995,0.88982,0.52221,0.21557,0.91915,0.000608468,0.000608468,0.000608468
60,4627.07,0.55975,0.3454,0.97974,0.9946,1,0.995,0.89963,0.55715,0.23066,0.93827,0.000594321,0.000594321,0.000594321
61,4702.87,0.55316,0.3345,0.98705,0.99656,1,0.995,0.89094,0.55786,0.22224,0.93689,0.000580174,0.000580174,0.000580174
62,4778.82,0.56645,0.35283,0.98808,0.99684,1,0.995,0.89875,0.53299,0.21651,0.93909,0.000566027,0.000566027,0.000566027
63,4855.17,0.5521,0.32516,0.98728,0.99564,1,0.995,0.88954,0.54133,0.2146,0.92628,0.00055188,0.00055188,0.00055188
64,4930.53,0.54837,0.33265,0.97567,0.99884,1,0.995,0.89615,0.55917,0.22986,0.931,0.000537733,0.000537733,0.000537733
65,5005.37,0.54822,0.3317,0.97654,0.9969,1,0.995,0.90358,0.54449,0.22179,0.9366,0.000523586,0.000523586,0.000523586
66,5081.42,0.5547,0.33948,0.98297,0.9973,1,0.995,0.89093,0.55442,0.22526,0.9283,0.000509438,0.000509438,0.000509438
67,5156.85,0.54457,0.33176,0.96523,0.99545,1,0.995,0.89909,0.57219,0.22719,0.93515,0.000495291,0.000495291,0.000495291
68,5232.95,0.53962,0.32823,0.9731,0.99612,1,0.995,0.89344,0.50926,0.2136,0.91492,0.000481144,0.000481144,0.000481144
69,5308.81,0.53002,0.32448,0.96444,0.99554,1,0.995,0.88575,0.56375,0.22767,0.94203,0.000466997,0.000466997,0.000466997
70,5384.13,0.52533,0.31893,0.96618,0.99595,1,0.995,0.90396,0.51079,0.20869,0.90877,0.00045285,0.00045285,0.00045285
71,5459.39,0.53094,0.32177,0.97049,0.99765,1,0.995,0.89038,0.5452,0.21886,0.9337,0.000438703,0.000438703,0.000438703
72,5534.88,0.51875,0.3149,0.95914,0.98672,1,0.995,0.89213,0.53863,0.22105,0.92225,0.000424556,0.000424556,0.000424556
73,5610.45,0.52157,0.32236,0.96859,0.99746,1,0.995,0.90085,0.52442,0.20953,0.9283,0.000410409,0.000410409,0.000410409
74,5685.43,0.52176,0.31677,0.97143,0.99769,1,0.995,0.89234,0.53786,0.22005,0.92743,0.000396262,0.000396262,0.000396262
75,5760.96,0.52024,0.30867,0.966,0.99736,1,0.995,0.89607,0.5272,0.22587,0.92566,0.000382115,0.000382115,0.000382115
76,5836.83,0.50115,0.30304,0.95816,0.99885,1,0.995,0.8992,0.51823,0.21779,0.91138,0.000367967,0.000367967,0.000367967
77,5912.92,0.50202,0.29837,0.95768,0.9946,1,0.995,0.88675,0.52883,0.20937,0.91691,0.00035382,0.00035382,0.00035382
78,5987.82,0.49123,0.28973,0.94822,0.99753,1,0.995,0.88511,0.55144,0.20427,0.93483,0.000339673,0.000339673,0.000339673
79,6063.06,0.49265,0.29827,0.95482,0.99646,1,0.995,0.8889,0.56541,0.21251,0.949,0.000325526,0.000325526,0.000325526
80,6138.78,0.50864,0.30351,0.95983,0.99614,1,0.995,0.88657,0.54002,0.21161,0.92871,0.000311379,0.000311379,0.000311379
81,6214.67,0.48763,0.2913,0.94926,0.99901,1,0.995,0.89319,0.54467,0.22164,0.9292,0.000297232,0.000297232,0.000297232
82,6289.98,0.48966,0.29236,0.94605,1,1,0.995,0.89225,0.56468,0.21084,0.93837,0.000283085,0.000283085,0.000283085
83,6365.5,0.47421,0.28699,0.94382,1,1,0.995,0.89687,0.52384,0.2059,0.92483,0.000268938,0.000268938,0.000268938
84,6441.26,0.4791,0.29291,0.94443,1,1,0.995,0.90308,0.52945,0.20316,0.91934,0.000254791,0.000254791,0.000254791
85,6517.4,0.4713,0.28057,0.94534,1,1,0.995,0.89772,0.52687,0.20018,0.91895,0.000240644,0.000240644,0.000240644
86,6592.7,0.48021,0.28453,0.94793,0.99783,1,0.995,0.89241,0.51431,0.1971,0.91368,0.000226497,0.000226497,0.000226497
87,6667.61,0.46222,0.27995,0.93511,0.99772,1,0.995,0.89071,0.56618,0.2104,0.94491,0.000212349,0.000212349,0.000212349
88,6742.88,0.46968,0.27785,0.94572,1,1,0.995,0.89122,0.57055,0.2064,0.94644,0.000198202,0.000198202,0.000198202
89,6819.08,0.46674,0.2801,0.94205,1,1,0.995,0.9035,0.51821,0.19672,0.9227,0.000184055,0.000184055,0.000184055
90,6894.47,0.45787,0.27441,0.93577,0.99886,1,0.995,0.89698,0.53887,0.19974,0.92966,0.000169908,0.000169908,0.000169908
91,6970.99,0.38126,0.18832,0.90523,0.99777,1,0.995,0.90413,0.535,0.20398,0.92756,0.000155761,0.000155761,0.000155761
92,7046.56,0.37454,0.182,0.90327,1,1,0.995,0.89634,0.54265,0.20051,0.93061,0.000141614,0.000141614,0.000141614
93,7122.25,0.37178,0.17858,0.90057,0.99876,1,0.995,0.89066,0.54719,0.20538,0.93423,0.000127467,0.000127467,0.000127467
94,7197.94,0.36206,0.174,0.89886,0.99882,1,0.995,0.89962,0.54534,0.20871,0.92962,0.00011332,0.00011332,0.00011332
95,7273.56,0.35758,0.17365,0.8909,0.99877,1,0.995,0.89298,0.5382,0.20606,0.9247,9.91726e-05,9.91726e-05,9.91726e-05
96,7348.64,0.35206,0.17253,0.88357,0.99879,1,0.995,0.89348,0.54065,0.20018,0.92931,8.50255e-05,8.50255e-05,8.50255e-05
97,7424.38,0.35094,0.17273,0.88423,0.99867,1,0.995,0.89465,0.54557,0.20441,0.93017,7.08784e-05,7.08784e-05,7.08784e-05
98,7499.86,0.34145,0.16759,0.8812,0.99751,1,0.995,0.89903,0.54686,0.20524,0.9307,5.67313e-05,5.67313e-05,5.67313e-05
99,7575.77,0.33489,0.16437,0.87346,0.99743,1,0.995,0.89582,0.54505,0.20762,0.93316,4.25842e-05,4.25842e-05,4.25842e-05
100,7651.63,0.33671,0.16385,0.8735,0.99762,1,0.995,0.90186,0.54708,0.20516,0.93297,2.84371e-05,2.84371e-05,2.84371e-05
