epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,842.506,0.58675,0.374,0.96468,0.99622,1,0.995,0.89934,0.5421,0.26426,0.93234,0.000820675,0.000820675,0.000820675
45,860.418,0.57178,0.37051,0.96972,0.99591,1,0.995,0.89742,0.53438,0.26257,0.9183,0.000806528,0.000806528,0.000806528
46,878.154,0.57127,0.3759,0.95792,0.99545,1,0.995,0.89068,0.55859,0.27302,0.9445,0.00079238,0.00079238,0.00079238
47,895.87,0.56651,0.34936,0.96106,0.99436,1,0.995,0.90077,0.51411,0.24921,0.91856,0.000778233,0.000778233,0.000778233
48,913.763,0.57381,0.36078,0.95663,0.99623,1,0.995,0.88935,0.58066,0.27053,0.94887,0.000764086,0.000764086,0.000764086
49,931.533,0.58483,0.3613,0.96394,0.99525,1,0.995,0.89638,0.55591,0.27386,0.95598,0.000749939,0.000749939,0.000749939
50,949.284,0.58646,0.37012,0.96501,0.9965,1,0.995,0.85301,0.62867,0.26321,0.94657,0.000735792,0.000735792,0.000735792
51,967.026,0.56465,0.34784,0.95914,0.99604,1,0.995,0.87866,0.6046,0.25566,0.96202,0.000721645,0.000721645,0.000721645
52,984.688,0.55215,0.35361,0.94867,0.99642,1,0.995,0.88836,0.54038,0.25979,0.92269,0.000707498,0.000707498,0.000707498
53,1002.48,0.56214,0.35511,0.96003,0.99508,1,0.995,0.88429,0.5816,0.25932,0.95061,0.000693351,0.000693351,0.000693351
54,1020.27,0.54732,0.34411,0.95364,0.99767,1,0.995,0.87034,0.61441,0.26754,0.9616,0.000679204,0.000679204,0.000679204
55,1037.96,0.54429,0.34025,0.9479,0.99509,1,0.995,0.88579,0.55426,0.25422,0.92819,0.000665057,0.000665057,0.000665057
56,1055.65,0.55241,0.34248,0.94818,0.99639,1,0.995,0.89161,0.57535,0.27096,0.93848,0.000650909,0.000650909,0.000650909
57,1073.31,0.53349,0.33075,0.94646,0.99787,1,0.995,0.89202,0.52845,0.2341,0.92071,0.000636762,0.000636762,0.000636762
58,1091.02,0.53756,0.33081,0.94825,0.99709,1,0.995,0.90105,0.52662,0.23182,0.92227,0.000622615,0.000622615,0.000622615
59,1108.86,0.52016,0.31882,0.94128,0.99314,1,0.995,0.90424,0.52299,0.25685,0.93498,0.000608468,0.000608468,0.000608468
60,1126.73,0.52368,0.32581,0.9359,0.99646,1,0.995,0.90165,0.52979,0.23139,0.92558,0.000594321,0.000594321,0.000594321
61,1144.54,0.51507,0.32903,0.93761,0.99723,1,0.995,0.9065,0.50012,0.22769,0.91372,0.000580174,0.000580174,0.000580174
62,1162.45,0.50115,0.30237,0.93388,0.99247,1,0.995,0.88453,0.58667,0.25662,0.94472,0.000566027,0.000566027,0.000566027
63,1180.21,0.51701,0.31726,0.93711,0.98749,1,0.995,0.88799,0.56292,0.25484,0.95196,0.00055188,0.00055188,0.00055188
64,1197.91,0.50552,0.31588,0.92858,0.99572,1,0.995,0.89466,0.53284,0.22193,0.92164,0.000537733,0.000537733,0.000537733
65,1215.61,0.50116,0.31651,0.92463,0.99566,1,0.995,0.90022,0.5179,0.2282,0.9153,0.000523586,0.000523586,0.000523586
66,1233.4,0.51095,0.32145,0.93301,0.99599,1,0.995,0.90579,0.5168,0.24181,0.91692,0.000509438,0.000509438,0.000509438
67,1251.11,0.49484,0.30378,0.93441,0.99706,1,0.995,0.88781,0.53157,0.23828,0.91957,0.000495291,0.000495291,0.000495291
68,1268.94,0.48848,0.30307,0.92192,0.99592,1,0.995,0.89527,0.53507,0.23436,0.92,0.000481144,0.000481144,0.000481144
69,1286.61,0.48862,0.30567,0.92694,0.99657,1,0.995,0.89183,0.52329,0.23979,0.92643,0.000466997,0.000466997,0.000466997
70,1304.31,0.4988,0.31337,0.93388,0.99676,1,0.995,0.91156,0.51447,0.22918,0.91953,0.00045285,0.00045285,0.00045285
71,1322.21,0.4768,0.30326,0.92336,0.99734,1,0.995,0.88893,0.51237,0.23092,0.92476,0.000438703,0.000438703,0.000438703
72,1339.99,0.48187,0.28822,0.93089,0.99332,1,0.995,0.89053,0.54244,0.23325,0.93237,0.000424556,0.000424556,0.000424556
73,1357.74,0.48335,0.30597,0.9248,0.9979,1,0.995,0.89204,0.52481,0.22979,0.91544,0.000410409,0.000410409,0.000410409
74,1375.47,0.46768,0.28912,0.91933,0.9976,1,0.995,0.88826,0.54151,0.22728,0.93669,0.000396262,0.000396262,0.000396262
75,1393.19,0.45642,0.28052,0.90989,0.99403,1,0.995,0.89161,0.54954,0.23935,0.93735,0.000382115,0.000382115,0.000382115
76,1410.89,0.47471,0.28609,0.92443,0.9988,1,0.995,0.9078,0.50899,0.2189,0.90869,0.000367967,0.000367967,0.000367967
77,1428.54,0.46106,0.27789,0.91458,0.99587,1,0.995,0.89902,0.51178,0.22573,0.92052,0.00035382,0.00035382,0.00035382
78,1446.26,0.46055,0.28572,0.91345,0.99804,1,0.995,0.90063,0.52054,0.2227,0.92238,0.000339673,0.000339673,0.000339673
79,1463.96,0.46099,0.27908,0.91399,0.99869,1,0.995,0.9047,0.49674,0.21253,0.92163,0.000325526,0.000325526,0.000325526
80,1481.71,0.46081,0.28078,0.91429,0.99884,1,0.995,0.90059,0.53026,0.21926,0.92882,0.000311379,0.000311379,0.000311379
81,1499.47,0.45069,0.27533,0.91432,0.99712,1,0.995,0.90455,0.53774,0.22572,0.93574,0.000297232,0.000297232,0.000297232
82,1517.28,0.44803,0.27306,0.90903,0.99886,1,0.995,0.91479,0.48543,0.20684,0.91174,0.000283085,0.000283085,0.000283085
83,1535.19,0.45575,0.28384,0.91306,0.99896,1,0.995,0.90034,0.52133,0.22126,0.92714,0.000268938,0.000268938,0.000268938
84,1552.88,0.44912,0.27091,0.90922,0.99356,1,0.995,0.89778,0.53656,0.22669,0.93113,0.000254791,0.000254791,0.000254791
85,1570.6,0.43636,0.26529,0.90923,0.99879,1,0.995,0.90173,0.49155,0.2119,0.91105,0.000240644,0.000240644,0.000240644
86,1588.31,0.43848,0.26834,0.89726,0.9985,1,0.995,0.90371,0.49661,0.21837,0.92276,0.000226497,0.000226497,0.000226497
87,1605.98,0.43558,0.26471,0.90764,0.99776,1,0.995,0.90195,0.50182,0.21297,0.92444,0.000212349,0.000212349,0.000212349
88,1623.74,0.42501,0.25729,0.89993,0.99895,1,0.995,0.90046,0.51506,0.21997,0.92419,0.000198202,0.000198202,0.000198202
89,1641.48,0.42452,0.255,0.9003,0.99781,1,0.995,0.9112,0.50741,0.21384,0.9187,0.000184055,0.000184055,0.000184055
90,1659.24,0.43033,0.26271,0.90204,0.99775,1,0.995,0.90912,0.48643,0.19912,0.91466,0.000169908,0.000169908,0.000169908
91,1678.79,0.36314,0.19694,0.83902,0.9977,1,0.995,0.89997,0.50698,0.2239,0.92155,0.000155761,0.000155761,0.000155761
92,1696.65,0.35373,0.1885,0.84066,0.99886,1,0.995,0.9081,0.51351,0.22123,0.92721,0.000141614,0.000141614,0.000141614
93,1714.37,0.34341,0.18345,0.83046,0.99752,1,0.995,0.91321,0.49347,0.21776,0.91207,0.000127467,0.000127467,0.000127467
94,1732.11,0.34509,0.18433,0.83233,0.9989,1,0.995,0.90008,0.51578,0.21472,0.91708,0.00011332,0.00011332,0.00011332
95,1749.87,0.33015,0.1794,0.82461,0.99888,1,0.995,0.90242,0.50437,0.21725,0.92277,9.91726e-05,9.91726e-05,9.91726e-05
96,1767.6,0.33099,0.1793,0.83102,0.99757,1,0.995,0.9053,0.49857,0.2147,0.91458,8.50255e-05,8.50255e-05,8.50255e-05
97,1785.29,0.32602,0.17686,0.82328,0.99853,1,0.995,0.90642,0.50008,0.21225,0.91806,7.08784e-05,7.08784e-05,7.08784e-05
98,1802.99,0.32445,0.17221,0.82162,0.99834,1,0.995,0.90694,0.49133,0.20467,0.9167,5.67313e-05,5.67313e-05,5.67313e-05
99,1820.71,0.3139,0.17201,0.82108,0.99854,1,0.995,0.91273,0.49375,0.21116,0.91921,4.25842e-05,4.25842e-05,4.25842e-05
100,1838.46,0.31348,0.16904,0.81851,0.99858,1,0.995,0.91176,0.48777,0.20769,0.91423,2.84371e-05,2.84371e-05,2.84371e-05
