epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,906.005,0.5448,0.42164,0.99777,0.96752,0.95263,0.98737,0.86255,0.53303,0.34335,1.0175,0.000848969,0.000848969,0.000848969
43,930.428,0.57075,0.44356,1.00491,0.96921,0.93441,0.98714,0.87476,0.53079,0.32161,1.00758,0.000834822,0.000834822,0.000834822
44,951.253,0.58012,0.43097,1.00922,0.98635,0.93917,0.99129,0.8592,0.53411,0.3101,1.02193,0.000820675,0.000820675,0.000820675
45,971.436,0.56058,0.41345,1.00033,0.97341,0.93917,0.98519,0.8648,0.54092,0.35542,1.03281,0.000806528,0.000806528,0.000806528
46,991.687,0.5682,0.42653,1.00333,0.9718,0.97269,0.98882,0.8608,0.52976,0.30955,1.02255,0.00079238,0.00079238,0.00079238
47,1012.33,0.54912,0.41598,0.99086,0.98553,0.97809,0.99278,0.87398,0.53964,0.31204,1.02084,0.000778233,0.000778233,0.000778233
48,1033.12,0.57137,0.41525,1.00245,0.97081,0.94811,0.98591,0.86381,0.53639,0.34549,1.02169,0.000764086,0.000764086,0.000764086
49,1055.68,0.56404,0.41294,0.99634,0.96271,0.98667,0.9896,0.87917,0.51759,0.31392,1.01045,0.000749939,0.000749939,0.000749939
50,1078.56,0.541,0.41195,0.98319,0.94704,0.96,0.99073,0.86508,0.53182,0.29846,1.01286,0.000735792,0.000735792,0.000735792
51,1099.53,0.54567,0.41246,0.98361,0.95484,0.96648,0.989,0.86465,0.5152,0.30012,1.00577,0.000721645,0.000721645,0.000721645
52,1120.56,0.53644,0.39782,0.98871,0.92878,0.98667,0.99156,0.8609,0.54074,0.31537,1.01585,0.000707498,0.000707498,0.000707498
53,1140.97,0.55094,0.39713,0.99248,0.98594,0.95485,0.97329,0.84981,0.55797,0.34201,1.04121,0.000693351,0.000693351,0.000693351
54,1160.87,0.52875,0.4077,0.99136,0.9706,0.96927,0.98968,0.87094,0.53284,0.31766,1.00665,0.000679204,0.000679204,0.000679204
55,1182.33,0.54746,0.39573,0.99611,0.96716,0.98667,0.98882,0.86826,0.55272,0.30331,1.03458,0.000665057,0.000665057,0.000665057
56,1207,0.53373,0.39935,0.99502,0.97034,0.97284,0.98427,0.87653,0.5336,0.31729,1.01036,0.000650909,0.000650909,0.000650909
57,1228.17,0.51076,0.38964,0.97414,0.97129,0.96629,0.986,0.87174,0.53916,0.30612,1.01681,0.000636762,0.000636762,0.000636762
58,1248.67,0.53427,0.39753,0.98508,0.99042,0.95653,0.98835,0.8649,0.52532,0.31269,1.00127,0.000622615,0.000622615,0.000622615
59,1268.91,0.52184,0.38571,0.98569,0.96591,0.97333,0.9892,0.86705,0.51595,0.30036,0.99878,0.000608468,0.000608468,0.000608468
60,1289.71,0.52633,0.38776,0.97943,0.96826,0.97129,0.98824,0.87176,0.52013,0.32905,1.00245,0.000594321,0.000594321,0.000594321
61,1309.95,0.52974,0.3862,0.98282,0.95967,0.96,0.99102,0.89394,0.51636,0.3047,1.00101,0.000580174,0.000580174,0.000580174
62,1335.2,0.52463,0.38489,0.98424,0.97919,0.968,0.99147,0.89304,0.51366,0.28834,1.00205,0.000566027,0.000566027,0.000566027
63,1357.22,0.52956,0.38041,0.99195,0.90687,0.98237,0.98598,0.88226,0.50206,0.32014,0.98623,0.00055188,0.00055188,0.00055188
64,1377.62,0.5197,0.39538,0.97691,0.97798,0.95921,0.99147,0.87811,0.50066,0.28995,0.99268,0.000537733,0.000537733,0.000537733
65,1398.17,0.51761,0.39175,0.98759,0.97078,0.96,0.99092,0.87721,0.50716,0.31246,0.98726,0.000523586,0.000523586,0.000523586
66,1418.23,0.52867,0.36908,0.98526,0.9764,0.97197,0.99316,0.85909,0.57717,0.32067,1.0503,0.000509438,0.000509438,0.000509438
67,1438.02,0.54184,0.36909,0.9984,0.95331,0.97443,0.98984,0.86173,0.56957,0.34748,1.04455,0.000495291,0.000495291,0.000495291
68,1458.78,0.50662,0.3659,0.97679,0.97002,0.96891,0.98912,0.88036,0.51849,0.30654,1.01482,0.000481144,0.000481144,0.000481144
69,1481.5,0.50995,0.37317,0.97755,0.96909,0.98418,0.9916,0.88664,0.48179,0.27439,0.98977,0.000466997,0.000466997,0.000466997
70,1503.95,0.52097,0.36156,0.97367,0.97479,0.96449,0.99242,0.89088,0.48475,0.29718,0.9774,0.00045285,0.00045285,0.00045285
71,1524.93,0.5079,0.3726,0.9797,0.96787,0.98667,0.99198,0.89107,0.48424,0.29744,0.98245,0.000438703,0.000438703,0.000438703
72,1545.58,0.5198,0.35958,0.99282,0.96232,0.98336,0.99284,0.8856,0.48916,0.25646,0.99389,0.000424556,0.000424556,0.000424556
73,1565.22,0.50006,0.35136,0.97116,0.94832,0.9678,0.98779,0.87437,0.5106,0.28674,1.01049,0.000410409,0.000410409,0.000410409
74,1585.73,0.48501,0.33799,0.96368,0.96669,0.96846,0.9916,0.88678,0.50669,0.29211,0.99618,0.000396262,0.000396262,0.000396262
75,1609.09,0.51192,0.35472,0.98109,0.95759,0.97038,0.99122,0.87864,0.49354,0.26868,0.99205,0.000382115,0.000382115,0.000382115
76,1629.95,0.496,0.34317,0.97488,0.97139,0.96627,0.9892,0.87782,0.5087,0.29713,0.99665,0.000367967,0.000367967,0.000367967
77,1651.59,0.49825,0.3584,0.97489,0.97049,0.96508,0.99006,0.87278,0.53039,0.29079,1.01835,0.00035382,0.00035382,0.00035382
78,1672.29,0.49796,0.35066,0.96694,0.97244,0.96453,0.99239,0.89188,0.49774,0.27865,0.99733,0.000339673,0.000339673,0.000339673
79,1692.26,0.49297,0.33426,0.96398,0.95751,0.98401,0.99331,0.89136,0.49108,0.27657,0.99999,0.000325526,0.000325526,0.000325526
80,1713,0.48072,0.34503,0.96579,0.95596,0.98667,0.98923,0.88632,0.48252,0.26263,0.9945,0.000311379,0.000311379,0.000311379
81,1733.43,0.47534,0.33285,0.97172,0.95917,0.98579,0.99284,0.89199,0.48813,0.24919,0.99206,0.000297232,0.000297232,0.000297232
82,1756.65,0.47626,0.32462,0.95966,0.97061,0.97375,0.99166,0.88551,0.49301,0.26031,0.99455,0.000283085,0.000283085,0.000283085
