epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1846.58,0.54718,0.35472,0.91415,0.99664,1,0.995,0.87839,0.5651,0.28897,0.87156,0.000820675,0.000820675,0.000820675
45,1887.27,0.55035,0.35807,0.91031,0.99406,1,0.995,0.8861,0.55698,0.30391,0.88558,0.000806528,0.000806528,0.000806528
46,1927,0.55789,0.35544,0.91736,0.9944,1,0.995,0.87175,0.63844,0.29481,0.91864,0.00079238,0.00079238,0.00079238
47,1967.24,0.56301,0.35923,0.92061,0.99653,1,0.995,0.88099,0.53975,0.27589,0.88291,0.000778233,0.000778233,0.000778233
48,2008.65,0.54487,0.34606,0.90767,0.99794,1,0.995,0.89013,0.571,0.2921,0.88215,0.000764086,0.000764086,0.000764086
49,2050.62,0.53078,0.34835,0.91097,0.97912,0.99835,0.995,0.8758,0.58066,0.2927,0.90716,0.000749939,0.000749939,0.000749939
50,2089.94,0.54947,0.34511,0.9146,0.99763,1,0.995,0.89593,0.52089,0.27332,0.88312,0.000735792,0.000735792,0.000735792
51,2130.13,0.55007,0.33121,0.92101,0.99531,1,0.995,0.90884,0.50714,0.25193,0.87425,0.000721645,0.000721645,0.000721645
52,2172.24,0.5341,0.33833,0.91085,0.9964,1,0.995,0.86591,0.6083,0.28924,0.92064,0.000707498,0.000707498,0.000707498
53,2211.96,0.53242,0.33218,0.90809,0.99617,1,0.995,0.88449,0.55908,0.27803,0.89256,0.000693351,0.000693351,0.000693351
54,2251.31,0.51902,0.33112,0.90984,0.99639,1,0.995,0.89726,0.5304,0.27584,0.90209,0.000679204,0.000679204,0.000679204
55,2293.05,0.51925,0.33024,0.90644,0.99634,1,0.995,0.88396,0.56081,0.27012,0.88412,0.000665057,0.000665057,0.000665057
56,2333.77,0.51628,0.32714,0.90035,0.99288,1,0.995,0.88978,0.53763,0.2618,0.88324,0.000650909,0.000650909,0.000650909
57,2373.2,0.51085,0.32097,0.90107,0.99383,1,0.995,0.89855,0.513,0.26364,0.87596,0.000636762,0.000636762,0.000636762
58,2412.8,0.52783,0.33037,0.90461,0.9741,0.97778,0.99375,0.86691,0.58002,0.30987,0.92238,0.000622615,0.000622615,0.000622615
59,2454.76,0.50877,0.32317,0.90366,0.98837,1,0.995,0.9106,0.51015,0.2673,0.87656,0.000608468,0.000608468,0.000608468
60,2496.11,0.48357,0.30356,0.88546,0.99621,1,0.995,0.89725,0.54194,0.2554,0.89023,0.000594321,0.000594321,0.000594321
61,2536.65,0.49533,0.30809,0.90304,0.99677,1,0.995,0.88847,0.53883,0.2672,0.8994,0.000580174,0.000580174,0.000580174
62,2577.1,0.49336,0.30815,0.89812,0.99264,1,0.995,0.88516,0.5543,0.28015,0.89128,0.000566027,0.000566027,0.000566027
63,2620.01,0.49337,0.30464,0.89437,0.99736,1,0.995,0.89623,0.55174,0.26576,0.88803,0.00055188,0.00055188,0.00055188
64,2660.34,0.48906,0.31197,0.89652,0.99623,1,0.995,0.8908,0.53558,0.26918,0.89041,0.000537733,0.000537733,0.000537733
65,2700.61,0.48102,0.30864,0.8925,0.99449,1,0.995,0.88574,0.55833,0.26877,0.88561,0.000523586,0.000523586,0.000523586
66,2744,0.47574,0.30484,0.88976,0.99651,1,0.995,0.88931,0.54267,0.25074,0.88331,0.000509438,0.000509438,0.000509438
67,2784.08,0.47925,0.29782,0.89047,0.9946,1,0.995,0.89053,0.52887,0.27105,0.89309,0.000495291,0.000495291,0.000495291
68,2824.67,0.46547,0.2999,0.89051,0.99655,1,0.995,0.90318,0.51641,0.25053,0.89366,0.000481144,0.000481144,0.000481144
69,2867.03,0.46685,0.30035,0.89382,0.99667,1,0.995,0.90201,0.52525,0.25515,0.89366,0.000466997,0.000466997,0.000466997
70,2907.88,0.4771,0.28985,0.89711,0.99626,1,0.995,0.90931,0.55135,0.25761,0.90524,0.00045285,0.00045285,0.00045285
71,2947.15,0.46084,0.29005,0.88433,0.99677,1,0.995,0.89613,0.52128,0.25562,0.87986,0.000438703,0.000438703,0.000438703
72,2988.17,0.46792,0.28555,0.88629,0.99621,1,0.995,0.90779,0.51075,0.23236,0.87982,0.000424556,0.000424556,0.000424556
73,3030.21,0.45315,0.29179,0.88393,0.99639,1,0.995,0.88936,0.54839,0.24109,0.89111,0.000410409,0.000410409,0.000410409
74,3069.68,0.44494,0.28477,0.88048,0.99613,1,0.995,0.91087,0.51286,0.25211,0.87487,0.000396262,0.000396262,0.000396262
75,3109.96,0.45547,0.27991,0.87986,0.99686,1,0.995,0.90961,0.49819,0.24078,0.87402,0.000382115,0.000382115,0.000382115
76,3150.44,0.4438,0.27815,0.88275,0.99622,1,0.995,0.90172,0.51508,0.23778,0.8883,0.000367967,0.000367967,0.000367967
77,3190.68,0.43834,0.27425,0.88304,0.9959,1,0.995,0.90109,0.51884,0.24339,0.89432,0.00035382,0.00035382,0.00035382
78,3230.95,0.43364,0.26514,0.87726,0.99783,1,0.995,0.88204,0.56004,0.24933,0.89206,0.000339673,0.000339673,0.000339673
79,3270.85,0.43268,0.26823,0.87656,0.99736,1,0.995,0.89887,0.52824,0.24138,0.88562,0.000325526,0.000325526,0.000325526
80,3312.73,0.42719,0.2638,0.87635,0.99732,1,0.995,0.89427,0.52228,0.24028,0.88295,0.000311379,0.000311379,0.000311379
81,3353.09,0.42953,0.26299,0.87871,0.99772,1,0.995,0.89939,0.53398,0.24103,0.90807,0.000297232,0.000297232,0.000297232
82,3393.02,0.42676,0.26315,0.87766,0.99802,1,0.995,0.89718,0.54249,0.25092,0.88631,0.000283085,0.000283085,0.000283085
83,3433.5,0.41963,0.25468,0.8675,0.99738,1,0.995,0.9178,0.49201,0.22433,0.8715,0.000268938,0.000268938,0.000268938
84,3477.57,0.41297,0.25771,0.86874,0.99782,1,0.995,0.90931,0.50295,0.23031,0.88153,0.000254791,0.000254791,0.000254791
85,3517.28,0.41667,0.24916,0.87208,0.99774,1,0.995,0.89974,0.51391,0.22502,0.88022,0.000240644,0.000240644,0.000240644
86,3556.92,0.42128,0.25713,0.87533,0.99777,1,0.995,0.90196,0.5282,0.22076,0.88068,0.000226497,0.000226497,0.000226497
87,3598.48,0.40968,0.24495,0.86974,0.99789,1,0.995,0.90388,0.50611,0.22211,0.8754,0.000212349,0.000212349,0.000212349
88,3640.23,0.41144,0.25767,0.87333,0.99889,1,0.995,0.90531,0.50482,0.23207,0.87042,0.000198202,0.000198202,0.000198202
89,3680.28,0.4044,0.24339,0.86812,0.99884,1,0.995,0.90532,0.51581,0.2375,0.87469,0.000184055,0.000184055,0.000184055
90,3719.97,0.39986,0.24002,0.86326,0.99795,1,0.995,0.90462,0.50536,0.22499,0.87314,0.000169908,0.000169908,0.000169908
91,3767.02,0.32926,0.17403,0.80728,0.99787,1,0.995,0.90478,0.51561,0.23091,0.87858,0.000155761,0.000155761,0.000155761
92,3807.33,0.32637,0.17142,0.79744,0.99777,1,0.995,0.89976,0.51586,0.22623,0.88476,0.000141614,0.000141614,0.000141614
93,3846.99,0.31645,0.16895,0.797,0.99641,1,0.995,0.8918,0.52623,0.23216,0.89144,0.000127467,0.000127467,0.000127467
94,3886.85,0.31543,0.16582,0.7975,0.99784,1,0.995,0.90085,0.50726,0.22575,0.87421,0.00011332,0.00011332,0.00011332
95,3926.36,0.31461,0.16729,0.79557,0.99788,1,0.995,0.90611,0.51493,0.22586,0.88671,9.91726e-05,9.91726e-05,9.91726e-05
96,3966.28,0.30374,0.1631,0.79476,0.99781,1,0.995,0.90065,0.5037,0.22438,0.87604,8.50255e-05,8.50255e-05,8.50255e-05
97,4006.4,0.29529,0.15914,0.79648,0.99784,1,0.995,0.90638,0.50503,0.22109,0.88053,7.08784e-05,7.08784e-05,7.08784e-05
98,4046.14,0.29778,0.15734,0.79763,0.99784,1,0.995,0.89682,0.51405,0.22113,0.88356,5.67313e-05,5.67313e-05,5.67313e-05
99,4085.14,0.28999,0.15545,0.79848,0.99775,1,0.995,0.89982,0.51528,0.2174,0.88681,4.25842e-05,4.25842e-05,4.25842e-05
100,4125.25,0.28995,0.15317,0.79209,0.99777,1,0.995,0.895,0.51711,0.21652,0.88413,2.84371e-05,2.84371e-05,2.84371e-05
