epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1573.25,0.5876,0.37856,0.90179,0.99492,1,0.995,0.89074,0.53202,0.26311,0.84761,0.000834822,0.000834822,0.000834822
44,1609.73,0.55487,0.35839,0.89983,0.9946,1,0.995,0.8762,0.59358,0.26678,0.86026,0.000820675,0.000820675,0.000820675
45,1645.51,0.56146,0.37886,0.89772,0.99385,1,0.995,0.89258,0.53298,0.2657,0.85231,0.000806528,0.000806528,0.000806528
46,1682.15,0.57394,0.37523,0.90063,0.99498,1,0.995,0.87652,0.56782,0.25904,0.85325,0.00079238,0.00079238,0.00079238
47,1718.16,0.56178,0.37259,0.8993,0.97977,1,0.995,0.88616,0.55172,0.27187,0.84722,0.000778233,0.000778233,0.000778233
48,1754.11,0.55892,0.36004,0.89389,0.96361,0.99571,0.995,0.88284,0.57828,0.286,0.85047,0.000764086,0.000764086,0.000764086
49,1790.43,0.54155,0.35867,0.89413,0.99606,1,0.995,0.89671,0.55452,0.25718,0.8475,0.000749939,0.000749939,0.000749939
50,1826.1,0.54713,0.35327,0.89366,0.99511,1,0.995,0.89111,0.55268,0.26642,0.84554,0.000735792,0.000735792,0.000735792
51,1861.45,0.54689,0.34732,0.89392,0.99455,1,0.995,0.89703,0.53231,0.24098,0.84613,0.000721645,0.000721645,0.000721645
52,1897.85,0.53737,0.35212,0.89464,0.98481,0.99948,0.995,0.87068,0.57884,0.26784,0.857,0.000707498,0.000707498,0.000707498
53,1934.68,0.53469,0.34036,0.88565,0.99624,1,0.995,0.88872,0.53405,0.24755,0.84358,0.000693351,0.000693351,0.000693351
54,1971.33,0.53567,0.34748,0.89366,0.99252,1,0.995,0.89484,0.53594,0.25796,0.8478,0.000679204,0.000679204,0.000679204
55,2007.85,0.52133,0.33933,0.88801,0.9965,1,0.995,0.89514,0.53567,0.24535,0.8449,0.000665057,0.000665057,0.000665057
56,2044.87,0.51797,0.33985,0.88195,0.99567,1,0.995,0.88568,0.53931,0.23794,0.84986,0.000650909,0.000650909,0.000650909
57,2081.05,0.52808,0.33857,0.88641,0.99487,1,0.995,0.89168,0.53814,0.24794,0.8411,0.000636762,0.000636762,0.000636762
58,2117.64,0.54402,0.34445,0.8897,0.97765,1,0.995,0.88914,0.54851,0.27154,0.85131,0.000622615,0.000622615,0.000622615
59,2154.34,0.51501,0.33565,0.88096,0.99609,1,0.995,0.88573,0.5503,0.24865,0.84868,0.000608468,0.000608468,0.000608468
60,2190.37,0.50784,0.32348,0.87408,0.98868,0.99392,0.995,0.88532,0.53548,0.25348,0.84854,0.000594321,0.000594321,0.000594321
61,2226.2,0.50452,0.32362,0.88337,0.99607,1,0.995,0.8958,0.52616,0.23614,0.85431,0.000580174,0.000580174,0.000580174
62,2262.78,0.51914,0.3282,0.88583,0.99582,1,0.995,0.90264,0.51767,0.24095,0.84105,0.000566027,0.000566027,0.000566027
