epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2559.99,0.60383,0.37674,1.01355,0.99585,1,0.995,0.86562,0.60863,0.25098,0.9542,0.000834822,0.000834822,0.000834822
44,2619.64,0.61944,0.38239,1.01433,0.99068,1,0.995,0.87699,0.56596,0.25897,0.94936,0.000820675,0.000820675,0.000820675
45,2678.04,0.62033,0.37846,1.00869,0.99495,1,0.995,0.87061,0.60894,0.2744,0.96724,0.000806528,0.000806528,0.000806528
46,2736.51,0.59523,0.37667,0.99865,0.99628,1,0.995,0.88529,0.55589,0.24114,0.94315,0.00079238,0.00079238,0.00079238
47,2795.34,0.59533,0.36594,1.00477,0.99628,1,0.995,0.86934,0.58361,0.26244,0.95614,0.000778233,0.000778233,0.000778233
48,2854.45,0.59899,0.3601,0.99668,0.99029,1,0.995,0.87522,0.57404,0.25862,0.94751,0.000764086,0.000764086,0.000764086
49,2912.52,0.58072,0.35179,0.98803,0.99555,1,0.995,0.885,0.57844,0.2471,0.95443,0.000749939,0.000749939,0.000749939
50,2970.82,0.59627,0.37493,0.99802,0.9958,1,0.995,0.89219,0.59799,0.24376,0.95647,0.000735792,0.000735792,0.000735792
51,3029.68,0.5909,0.36851,1.0036,0.99549,1,0.995,0.87663,0.61275,0.26122,0.96478,0.000721645,0.000721645,0.000721645
52,3088.87,0.60498,0.37398,1.0096,0.98044,1,0.995,0.88992,0.59936,0.27654,0.96051,0.000707498,0.000707498,0.000707498
53,3146.77,0.57432,0.34812,0.99212,0.97983,1,0.995,0.87675,0.61847,0.26169,0.95632,0.000693351,0.000693351,0.000693351
54,3204.77,0.58145,0.36057,1.0006,0.9953,1,0.995,0.89377,0.57143,0.25021,0.9625,0.000679204,0.000679204,0.000679204
55,3263.4,0.58733,0.36262,1.00176,0.99795,1,0.995,0.8772,0.60428,0.25589,0.96021,0.000665057,0.000665057,0.000665057
56,3321.88,0.58447,0.35561,0.98577,0.99583,1,0.995,0.88283,0.56297,0.24484,0.94299,0.000650909,0.000650909,0.000650909
57,3379.74,0.56198,0.33891,0.97686,0.99271,1,0.995,0.89897,0.55803,0.23618,0.94457,0.000636762,0.000636762,0.000636762
58,3439.17,0.5625,0.34342,0.98895,0.9965,1,0.995,0.88689,0.55391,0.23648,0.95097,0.000622615,0.000622615,0.000622615
59,3498.21,0.55501,0.3431,0.98418,0.99698,1,0.995,0.89964,0.53791,0.23427,0.92738,0.000608468,0.000608468,0.000608468
60,3556.67,0.55639,0.33541,0.97717,0.99211,1,0.995,0.89717,0.53588,0.2486,0.92642,0.000594321,0.000594321,0.000594321
61,3614.77,0.55227,0.32927,0.98397,0.99576,1,0.995,0.90288,0.51314,0.22699,0.92234,0.000580174,0.000580174,0.000580174
62,3674.17,0.55515,0.34463,0.9817,0.99415,1,0.995,0.90116,0.54953,0.25267,0.94178,0.000566027,0.000566027,0.000566027
63,3732.85,0.54655,0.32711,0.98566,0.99714,1,0.995,0.90157,0.53391,0.21189,0.92537,0.00055188,0.00055188,0.00055188
64,3791.01,0.53617,0.32941,0.96922,0.99605,1,0.995,0.88764,0.5468,0.23612,0.92963,0.000537733,0.000537733,0.000537733
65,3849.4,0.52765,0.31931,0.96796,0.99651,1,0.995,0.89373,0.54075,0.22742,0.93418,0.000523586,0.000523586,0.000523586
66,3908.57,0.54647,0.32988,0.97749,0.99898,1,0.995,0.89943,0.55225,0.23787,0.94435,0.000509438,0.000509438,0.000509438
67,3966.94,0.52268,0.31297,0.95987,0.99834,1,0.995,0.88647,0.59591,0.22953,0.95276,0.000495291,0.000495291,0.000495291
68,4024.82,0.53495,0.32339,0.97103,0.99644,1,0.995,0.89325,0.56598,0.23068,0.95376,0.000481144,0.000481144,0.000481144
69,4083.17,0.52258,0.31729,0.96198,0.99686,1,0.995,0.89758,0.57412,0.2338,0.95572,0.000466997,0.000466997,0.000466997
70,4142.26,0.52002,0.31152,0.96131,0.99692,1,0.995,0.9134,0.53636,0.23125,0.93526,0.00045285,0.00045285,0.00045285
71,4200.99,0.50873,0.3025,0.96291,0.99674,1,0.995,0.89954,0.53932,0.21545,0.9401,0.000438703,0.000438703,0.000438703
72,4259.06,0.50403,0.30825,0.95487,0.9969,1,0.995,0.8948,0.54096,0.21317,0.93353,0.000424556,0.000424556,0.000424556
73,4317.92,0.50926,0.31017,0.96471,0.99621,1,0.995,0.89903,0.55073,0.22268,0.94265,0.000410409,0.000410409,0.000410409
74,4377.07,0.51218,0.31169,0.9641,0.99804,1,0.995,0.90058,0.54143,0.22139,0.9405,0.000396262,0.000396262,0.000396262
75,4435.02,0.51405,0.30331,0.96574,0.99716,1,0.995,0.89596,0.52777,0.21658,0.93479,0.000382115,0.000382115,0.000382115
76,4493.42,0.49161,0.30396,0.95702,0.99625,1,0.995,0.8959,0.52707,0.21748,0.93161,0.000367967,0.000367967,0.000367967
77,4552.15,0.49989,0.30137,0.95694,1,1,0.995,0.9029,0.53495,0.22509,0.92843,0.00035382,0.00035382,0.00035382
78,4610.93,0.49994,0.29019,0.95292,1,1,0.995,0.90761,0.52883,0.20245,0.93237,0.000339673,0.000339673,0.000339673
79,4668.91,0.49105,0.2999,0.95575,0.99596,1,0.995,0.89407,0.55812,0.22376,0.94592,0.000325526,0.000325526,0.000325526
80,4727.04,0.51255,0.29904,0.96127,0.99644,1,0.995,0.89188,0.55097,0.22076,0.93979,0.000311379,0.000311379,0.000311379
81,4786.16,0.48524,0.29132,0.95074,0.99828,1,0.995,0.90124,0.5664,0.21825,0.94163,0.000297232,0.000297232,0.000297232
82,4845.43,0.48127,0.28957,0.94226,0.99893,1,0.995,0.90014,0.55429,0.21662,0.94027,0.000283085,0.000283085,0.000283085
83,4903.53,0.47754,0.28503,0.94464,0.99797,1,0.995,0.89441,0.55567,0.21257,0.96154,0.000268938,0.000268938,0.000268938
84,4961.88,0.48071,0.28804,0.94466,0.99715,1,0.995,0.90516,0.53189,0.21799,0.94171,0.000254791,0.000254791,0.000254791
85,5020.93,0.46914,0.27555,0.94542,0.99836,1,0.995,0.90182,0.54561,0.21798,0.94877,0.000240644,0.000240644,0.000240644
86,5080.05,0.47711,0.2821,0.94664,0.99844,1,0.995,0.903,0.53974,0.2053,0.93824,0.000226497,0.000226497,0.000226497
87,5137.9,0.45985,0.27656,0.93615,0.99897,1,0.995,0.89841,0.57321,0.21529,0.96233,0.000212349,0.000212349,0.000212349
88,5196.44,0.4615,0.27707,0.94235,0.99886,1,0.995,0.90024,0.54452,0.19987,0.95092,0.000198202,0.000198202,0.000198202
89,5255.87,0.46342,0.27955,0.93978,0.99901,1,0.995,0.91615,0.52134,0.19762,0.94642,0.000184055,0.000184055,0.000184055
90,5315.42,0.459,0.27228,0.93791,0.99875,1,0.995,0.91117,0.53539,0.20303,0.94324,0.000169908,0.000169908,0.000169908
91,5375,0.37743,0.19471,0.90329,1,1,0.995,0.90578,0.53589,0.20768,0.94248,0.000155761,0.000155761,0.000155761
92,5433.68,0.37141,0.18618,0.90189,1,1,0.995,0.91328,0.52783,0.1995,0.93871,0.000141614,0.000141614,0.000141614
93,5492.79,0.36565,0.18447,0.89415,0.99888,1,0.995,0.91031,0.5291,0.20539,0.94558,0.000127467,0.000127467,0.000127467
94,5551.51,0.35843,0.17935,0.89756,0.9975,1,0.995,0.90522,0.52328,0.20131,0.9365,0.00011332,0.00011332,0.00011332
95,5609.85,0.35587,0.18083,0.89072,0.99886,1,0.995,0.91008,0.52996,0.20106,0.93831,9.91726e-05,9.91726e-05,9.91726e-05
96,5668.06,0.3529,0.17741,0.8851,0.99895,1,0.995,0.9092,0.52957,0.20469,0.94063,8.50255e-05,8.50255e-05,8.50255e-05
97,5726.55,0.34868,0.17409,0.88593,0.99902,1,0.995,0.91126,0.52877,0.20473,0.93787,7.08784e-05,7.08784e-05,7.08784e-05
98,5785.16,0.3417,0.17271,0.88183,0.99894,1,0.995,0.90909,0.5255,0.20055,0.93616,5.67313e-05,5.67313e-05,5.67313e-05
99,5844.22,0.33968,0.16981,0.87668,0.99891,1,0.995,0.9086,0.5278,0.20184,0.93837,4.25842e-05,4.25842e-05,4.25842e-05
100,5902.79,0.34416,0.17054,0.87759,0.9989,1,0.995,0.91039,0.53267,0.20138,0.93948,2.84371e-05,2.84371e-05,2.84371e-05
